,RequestNumAppName,FeatureRequest,Reasons,MissingInformation,ClarificationQuestions,PromptForGeneration
10,757-Signal,"Request Number - 757 | Request Title - different notification settings for group chats | Request Description - It would be very nice to be able to change the notification settings for goups independently from other (personal) chats, as group chats might have a lower priority for the user.",The feature request is missing information about the scope of implementation that a developer would require to proceed with enacting the request.,"['Where should these setting be accessed?', ' Which notification settings should be duplicated here?', ' Should these settings apply to all groups globally or be customizable for each group individually?', ' Should the same customizability be provided for individual single-recipient chats or should they remain global?']","['Where in the UI should these setting be accessed?', ' Which notification settings should be duplicated here?', ' Should these settings apply to all groups globally or be customizable for each group individually?', ' Should the same customizability be provided for individual single-recipient chats or should they remain global?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 757 | Request Title - different notification settings for group chats | Request Description - It would be very nice to be able to change the notification settings for goups independently from other (personal) chats, as group chats might have a lower priority for the user.
####
Reason: The feature request is missing information about the scope of implementation that a developer would require to proceed with enacting the request.
####
Missing Information: ['Where should these setting be accessed?', ' Which notification settings should be duplicated here?', ' Should these settings apply to all groups globally or be customizable for each group individually?', ' Should the same customizability be provided for individual single-recipient chats or should they remain global?']
####
Clarifying Question(s): "
11,4031-Signal,Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed,Details about implementation of this feature are missing from the feature request.,"['Where should this feature be accessed?', ' Should incomplete downloads be preserved for resuming? If so, for how long?']","['From where in the user interface should this feature be accessible?', ' Should incomplete downloads be preserved for resuming? If so, for how long?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed
####
Reason: Details about implementation of this feature are missing from the feature request.
####
Missing Information: ['Where should this feature be accessed?', ' Should incomplete downloads be preserved for resuming? If so, for how long?']
####
Clarifying Question(s): "
12,895-Signal,"Request Number - 895 | Request Title - Feature request: Add an option for 'Delayed Sending' | Request Description - I would like a 'Delayed Sending' option to be added to the settings. This is very useful in case you left an embarrassing typo, forgot something important or if you just change your mind and don't want to send the message. Both Chomp SMS and Handcent SMS have this excellent feature. Delay options from 1 to 5 seconds should be enough. Thanks!","The feature request does not specify which settings the feature should be added to, which leaves incomplete information about the implementation and granularity of the feature.",['In which settings should this be implemented? Global settings or per-message?'],"[""In which settings should this be implemented? Global settings, each message thread's settings, or somewhere else?""]","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 895 | Request Title - Feature request: Add an option for 'Delayed Sending' | Request Description - I would like a 'Delayed Sending' option to be added to the settings. This is very useful in case you left an embarrassing typo, forgot something important or if you just change your mind and don't want to send the message. Both Chomp SMS and Handcent SMS have this excellent feature. Delay options from 1 to 5 seconds should be enough. Thanks!
####
Reason: The feature request does not specify which settings the feature should be added to, which leaves incomplete information about the implementation and granularity of the feature.
####
Missing Information: ['In which settings should this be implemented? Global settings or per-message?']
####
Clarifying Question(s): "
13,6592-Signal,"Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.",Details about the design and implementation are missing from the feature request. ,"['Saving PDF documents on the local device', ' Saving the PDF documents on the server-side', ' different encryption algorithms that can be used to encrypt the PDF files', ' different threats on the security and privacy of the PDF files']",['How to design a viewer in the app that is not connected to the Internet? Should the app save the PDF document on the local device with encryption and show the PDF with the viewer to avoid Internet connection?'],"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####
Reason: Details about the design and implementation are missing from the feature request. 
####
Missing Information: ['Saving PDF documents on the local device', ' Saving the PDF documents on the server-side', ' different encryption algorithms that can be used to encrypt the PDF files', ' different threats on the security and privacy of the PDF files']
####
Clarifying Question(s): "
14,36-Mastodon,"Request Number - 36 | Request Title - Feature request: Fediverse service label | Request Description - For example, Fedilab shows which service the profile is for, i.e. whether it is a Mastodon, Pixelfed, PeerTube, etc. account. Something similar for the official Mastodon app would be desirable, as it shows newcomers that theFediverse is more than just Mastodon.",Incomplete information and missing design details. ,['How the specific labels should be shown to the users is unclear. '],['Where should the labels be presented? '],"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 36 | Request Title - Feature request: Fediverse service label | Request Description - For example, Fedilab shows which service the profile is for, i.e. whether it is a Mastodon, Pixelfed, PeerTube, etc. account. Something similar for the official Mastodon app would be desirable, as it shows newcomers that theFediverse is more than just Mastodon.
####
Reason: Incomplete information and missing design details. 
####
Missing Information: ['How the specific labels should be shown to the users is unclear. ']
####
Clarifying Question(s): "
15,2098-Signal,"Request Number - 2098 | Request Title - Automatically resend undelivered messages | Request Description - Since the delivery confirmation functionality has been implemented, I sent 48 messages. For 3 of these, I did not get a confirmation that they have been delivered. It would be nice if messages are automatically resent if no delivery confirmation is received. Especially, if later messages to the same recipient do get a delivery confirmation, indicating that the recipient is reachable again.",Missing details and information in the request. ,['The wait time for resending the undelivered message is missing in the request. '],['How long would you suggest the app should wait until it re-sends the message?'],"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 2098 | Request Title - Automatically resend undelivered messages | Request Description - Since the delivery confirmation functionality has been implemented, I sent 48 messages. For 3 of these, I did not get a confirmation that they have been delivered. It would be nice if messages are automatically resent if no delivery confirmation is received. Especially, if later messages to the same recipient do get a delivery confirmation, indicating that the recipient is reachable again.
####
Reason: Missing details and information in the request. 
####
Missing Information: ['The wait time for resending the undelivered message is missing in the request. ']
####
Clarifying Question(s): "
16,2055-Signal,"Request Number - 2055 | Request Title - use delivery receipts to show message received time for outgoing messages | Request Description - After long pressing on a message and selecting the info button, the message details are shown. This includes the sent and received times for incoming messages. For outgoing messages, in contrast, only one Sent/Received time is displayed, probably containing sent time. Now that delivery receipts are implemented, it would be possible to display the received time for outgoing messages (by taking the sent time from the receipt). Or to make it more precise, let the receipt message piggybag the real received time. This would make the user interface more consistent. When this is rejected for some reasons, I suggest renaming the ""Sent/Received"" label for outgoing messages to ""Sent"" because this is what it really is about.","Incompletely specified conditions: The request is incomplete and misses information regarding scenarios like failed message delivery, partial receipts, or differences in time zones.","['The request does not address scenarios like failed message delivery, partial receipts, or differences in time zones.']","['What happens if scenarios such as failed message delivery, partial receipts, or differences in time zones happen?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 2055 | Request Title - use delivery receipts to show message received time for outgoing messages | Request Description - After long pressing on a message and selecting the info button, the message details are shown. This includes the sent and received times for incoming messages. For outgoing messages, in contrast, only one Sent/Received time is displayed, probably containing sent time. Now that delivery receipts are implemented, it would be possible to display the received time for outgoing messages (by taking the sent time from the receipt). Or to make it more precise, let the receipt message piggybag the real received time. This would make the user interface more consistent. When this is rejected for some reasons, I suggest renaming the ""Sent/Received"" label for outgoing messages to ""Sent"" because this is what it really is about.
####
Reason: Incompletely specified conditions: The request is incomplete and misses information regarding scenarios like failed message delivery, partial receipts, or differences in time zones.
####
Missing Information: ['The request does not address scenarios like failed message delivery, partial receipts, or differences in time zones.']
####
Clarifying Question(s): "
17,1283-Signal,"Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    ","The feature request does not specify what constitutes theme support, resulting in missing information about the scope of the feature and how it should be accessed and implemented.","['How should themes be implemented? Should they be provided by an in-application store? Built-in? Imported from third-party sources?', ' What elements should be able to be altered by themes?']","['How should themes be implemented? Should they be provided by an in-application store? Built-in? Imported from third-party sources?', ' What elements should be able to be altered by themes?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    
####
Reason: The feature request does not specify what constitutes theme support, resulting in missing information about the scope of the feature and how it should be accessed and implemented.
####
Missing Information: ['How should themes be implemented? Should they be provided by an in-application store? Built-in? Imported from third-party sources?', ' What elements should be able to be altered by themes?']
####
Clarifying Question(s): "
18,253-Signal,"Request Number - 253 | Request Title -  Feature: send schedule | Request Description - The default SMS app on Samsung at least show you to set a time the SMS is to be sent. I use this feature a lot, so need to revert back to the default app to send these messages. Would be great to have this feature added. Thanks.","The feature request does not provide details on the activation or scope of the feature, resulting in missing information that a developer may want in order to meet the author's expectations.","['What are the expected abilities of this feature?', ' How should this feature be accessed in the user interface?', "" Should this feature's time settings be: global, by conversation, by message?""]","['What are the expected abilities of this feature?', ' How should this feature be accessed in the user interface?', "" Should this feature's time settings be: global, by conversation, by message?""]","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 253 | Request Title -  Feature: send schedule | Request Description - The default SMS app on Samsung at least show you to set a time the SMS is to be sent. I use this feature a lot, so need to revert back to the default app to send these messages. Would be great to have this feature added. Thanks.
####
Reason: The feature request does not provide details on the activation or scope of the feature, resulting in missing information that a developer may want in order to meet the author's expectations.
####
Missing Information: ['What are the expected abilities of this feature?', ' How should this feature be accessed in the user interface?', "" Should this feature's time settings be: global, by conversation, by message?""]
####
Clarifying Question(s): "
19,2285-Signal,"Request Number - 2285 | Request Title - Send button should stick to last method (Signal, insecure SMS) on a per-user basis | Request Description - What it says on the tin; taken from discussion at the bottom of #845 . As @samlanning mentioned and other users indicated, the send method must currently be selected with every message with a chat partner. ""Stickiness"" would be helpful, as long as the Send button reflected it visually (including for color-impaired users). Implementing this would also be a workaround to #845 itself.","The request indicates an indicator should be used without specifying the type and appearance of indicator. The request also suggests a different behavior for a button that currently opens a selection menu without indicating how the selection menu should be accessed afterward. The word 'user' is also provided without reference index, making it unclear if the user is the sender or receiver. A developer may need to know the author's expectations for these behaviors to accurately implement their request.","['How should the default send method be reflected visually to the user?', ' How should users select and change the default send method once the send button is set to a specific method?', ' Is the per-user basis described meant to be per sending user (account-wide) or receiving user (per chat thread)?']","['How should the default send method be reflected visually to the user?', ' How should users select and change the default send method once the send button is set to a specific method?', ' Is the per-user basis described meant to be per sending user (account-wide) or receiving user (per chat thread)?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 2285 | Request Title - Send button should stick to last method (Signal, insecure SMS) on a per-user basis | Request Description - What it says on the tin; taken from discussion at the bottom of #845 . As @samlanning mentioned and other users indicated, the send method must currently be selected with every message with a chat partner. ""Stickiness"" would be helpful, as long as the Send button reflected it visually (including for color-impaired users). Implementing this would also be a workaround to #845 itself.
####
Reason: The request indicates an indicator should be used without specifying the type and appearance of indicator. The request also suggests a different behavior for a button that currently opens a selection menu without indicating how the selection menu should be accessed afterward. The word 'user' is also provided without reference index, making it unclear if the user is the sender or receiver. A developer may need to know the author's expectations for these behaviors to accurately implement their request.
####
Missing Information: ['How should the default send method be reflected visually to the user?', ' How should users select and change the default send method once the send button is set to a specific method?', ' Is the per-user basis described meant to be per sending user (account-wide) or receiving user (per chat thread)?']
####
Clarifying Question(s): "
20,5238-Signal,"Request Number - 5238 | Request Title - Conveniently raise-to-speak and raise-to-listen Voice messages | Request Description - Telegram 3.5 added the very convenient raise-to-speak and raise-to-listen feature for voice messages: When a chat is open, bring your phone to your ear (as if taking a phone call) to listen to new voice messages or record a new one after the signal. Voice messaging is one of the most popular features of Wazzapp, raise-to-speak  and raise-to-listen would make it much easier to use, even better than the competition!",The feature request is missing some information on how the implement the request.,"['Should this be a default setting, or should a user need to enable it?', "" Should the feature be modeled after Telegram's version or Whatsapp's version?""]","['Should this be a default setting, or should a user need to enable it?', "" Should the feature be modeled after Telegram's version or Whatsapp's version?""]","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 5238 | Request Title - Conveniently raise-to-speak and raise-to-listen Voice messages | Request Description - Telegram 3.5 added the very convenient raise-to-speak and raise-to-listen feature for voice messages: When a chat is open, bring your phone to your ear (as if taking a phone call) to listen to new voice messages or record a new one after the signal. Voice messaging is one of the most popular features of Wazzapp, raise-to-speak  and raise-to-listen would make it much easier to use, even better than the competition!
####
Reason: The feature request is missing some information on how the implement the request.
####
Missing Information: ['Should this be a default setting, or should a user need to enable it?', "" Should the feature be modeled after Telegram's version or Whatsapp's version?""]
####
Clarifying Question(s): "
21,1699-Signal,"Request Number - 1699 | Request Title - Add Android Wear support | Request Description - Hangouts has the possibility to answer with predefined answers or voice. Something similar would be awesome for TextSecure. Since all this works over notifications, this should be reasonably easy to intergrate.","By means of nominalization, a process (i.e., answering calls and recording predefined answers) is converted to an event. Additional information is missing regarding these two processes. ","['The process of answering a call using a predefined answer or voice', ' The process of recording a predefined answer or voice', ' ']","['What options should be added to the app so that the user answers using the predefined answers or voice?', 'How to incorporate recording predefined answers or voice?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 1699 | Request Title - Add Android Wear support | Request Description - Hangouts has the possibility to answer with predefined answers or voice. Something similar would be awesome for TextSecure. Since all this works over notifications, this should be reasonably easy to intergrate.
####
Reason: By means of nominalization, a process (i.e., answering calls and recording predefined answers) is converted to an event. Additional information is missing regarding these two processes. 
####
Missing Information: ['The process of answering a call using a predefined answer or voice', ' The process of recording a predefined answer or voice', ' ']
####
Clarifying Question(s): "
22,587-Signal,Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?,The feature request doesn't describe the expected actions that would result from clicking the link or how a user should access the link.,"[""What should the link itself do or point to? Simply the app's store page? Should it automatically associate the new user as a friend of the link provider?"", ' Where in the user interface should this link be found?']","['Where in the user interface should a user obtain this link?', ' What actions should occur when a new user follows the link? (e.g. be taken to the app store page, automatically add the link provider as a friend, etc.)']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: The feature request doesn't describe the expected actions that would result from clicking the link or how a user should access the link.
####
Missing Information: [""What should the link itself do or point to? Simply the app's store page? Should it automatically associate the new user as a friend of the link provider?"", ' Where in the user interface should this link be found?']
####
Clarifying Question(s): "
