,RequestNumAppName,FeatureRequest,IncompleteStatus,MissingInformation,MissingInformationInList,PromptForGeneration
17,817-Signal,"Request Number - 817 | Request Title - Display shorter fingerprint, enable sharing of fingerprint | Request Description - To enable faster sharing of the fingerprint, let the user copy the fingerprint and send it over a secure channel (inform the user that the channel needs to be secure). Also, don't display the hex of the fingerprint but rather something the user can easily read out:  base58-encoding poetry-encoding",Yes,"What mechanism should be used to ensure a channel is secure? Given that fingerprints are used to verify security, how should the exchange be performed in a secure manner prior to the receipt of a fingerprint that does not invalidate the purpose of the fingerprint?","['What mechanism should be used to ensure a channel is secure? Given that fingerprints are used to verify security, how should the exchange be performed in a secure manner prior to the receipt of a fingerprint that does not invalidate the purpose of the fingerprint?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness detection in GitHub feature requests. 
Carefully analyze the given feature request statement and determine whether it is incomplete. If the request is incomplete, identify the missing information required for completeness. Include all the missing information in a single comma-separated list. Ensure that every element of the list is enclosed in quotation marks. If the request statement is complete, return Missing Information: No Defect Found.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and missing Information are separated using the trigger word ####.
Statement: Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Missing Information: ['Which existing method the author prefers to remain']
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Missing Information: No Defect Found
# END
Statement: Request Number - 817 | Request Title - Display shorter fingerprint, enable sharing of fingerprint | Request Description - To enable faster sharing of the fingerprint, let the user copy the fingerprint and send it over a secure channel (inform the user that the channel needs to be secure). Also, don't display the hex of the fingerprint but rather something the user can easily read out:  base58-encoding poetry-encoding
####
Missing Information:"
18,4230-Signal,Request Number - 4230 | Request Title - Auto-split oversized texts | Request Description - Feature Request: Auto-split oversized texts over multiple messages. At the moment they will be truncated. (Telegram messenger auto-splits oversized texts into multiple messages.),Yes,"How should messages be split? At the character, word, or sentence level?; Should multiple messages be sent automatically, or the user be prompted to allow it?; Should this be automatic behavior, or enabled and disabled in a global or message settings menu?; Should a buffer space and label be used to indicate original message order in the event they arrive out of sync, or should a mechanism with data overhead be used to re-assemble oversized messages upon receipt?","['How should messages be split? At the character, word, or sentence level?', ' Should multiple messages be sent automatically, or the user be prompted to allow it?', ' Should this be automatic behavior, or enabled and disabled in a global or message settings menu?', ' Should a buffer space and label be used to indicate original message order in the event they arrive out of sync, or should a mechanism with data overhead be used to re-assemble oversized messages upon receipt?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness detection in GitHub feature requests. 
Carefully analyze the given feature request statement and determine whether it is incomplete. If the request is incomplete, identify the missing information required for completeness. Include all the missing information in a single comma-separated list. Ensure that every element of the list is enclosed in quotation marks. If the request statement is complete, return Missing Information: No Defect Found.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and missing Information are separated using the trigger word ####.
Statement: Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Missing Information: ['Which existing method the author prefers to remain']
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Missing Information: No Defect Found
# END
Statement: Request Number - 4230 | Request Title - Auto-split oversized texts | Request Description - Feature Request: Auto-split oversized texts over multiple messages. At the moment they will be truncated. (Telegram messenger auto-splits oversized texts into multiple messages.)
####
Missing Information:"
19,276-Signal,"Request Number - 276 | Request Title - Saving Attachments - where do they go? | Request Description - This is hopefully a daft question, but I can't find the answer anywhere. I've received a nice picture via MMS into TextSecure 0.9.9.7. It looks okay in the message thread, and clicking it gives me the warning about needing to decrypt it, but then it loads perfectly into my image viewer. If I tap+hold the image, I'm then warned about needing to decrypt it to put it on the external SD card, it then takes maybe half a second while it says ""Saving attachment..."", and then ""Success"" flashes up. Despite all of this, I can't find the attachment anywhere on my phone :-( (I've used ES File Explorer to search for various filenames, but to no avail). I had a look in the source code; it looks like it's saving to Environment.getExternalStorageDirectory(), but none of the obvious locations seem to have the picture in them. Any idea where attachments end up? (If it matters, I'm using a Samsung Galaxy S2 GT-I9100 running Jellybean 4.1.2).",Yes,No proposed feature or solution is presented,['No proposed feature or solution is presented'],"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness detection in GitHub feature requests. 
Carefully analyze the given feature request statement and determine whether it is incomplete. If the request is incomplete, identify the missing information required for completeness. Include all the missing information in a single comma-separated list. Ensure that every element of the list is enclosed in quotation marks. If the request statement is complete, return Missing Information: No Defect Found.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and missing Information are separated using the trigger word ####.
Statement: Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Missing Information: ['Which existing method the author prefers to remain']
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Missing Information: No Defect Found
# END
Statement: Request Number - 276 | Request Title - Saving Attachments - where do they go? | Request Description - This is hopefully a daft question, but I can't find the answer anywhere. I've received a nice picture via MMS into TextSecure 0.9.9.7. It looks okay in the message thread, and clicking it gives me the warning about needing to decrypt it, but then it loads perfectly into my image viewer. If I tap+hold the image, I'm then warned about needing to decrypt it to put it on the external SD card, it then takes maybe half a second while it says ""Saving attachment..."", and then ""Success"" flashes up. Despite all of this, I can't find the attachment anywhere on my phone :-( (I've used ES File Explorer to search for various filenames, but to no avail). I had a look in the source code; it looks like it's saving to Environment.getExternalStorageDirectory(), but none of the obvious locations seem to have the picture in them. Any idea where attachments end up? (If it matters, I'm using a Samsung Galaxy S2 GT-I9100 running Jellybean 4.1.2).
####
Missing Information:"
20,898-Signal,"Request Number - 898 | Request Title - Search field missing in group creation dialog | Request Description - When creating a group and adding contacts, there is no search field on top of the contact list. This search field is present when composing a single message and a contact must be picked. Because it's missing in the contact picker when creating a group, it is harder to add contacts to a group.",No,No Defect Found,No Defect Found,"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness detection in GitHub feature requests. 
Carefully analyze the given feature request statement and determine whether it is incomplete. If the request is incomplete, identify the missing information required for completeness. Include all the missing information in a single comma-separated list. Ensure that every element of the list is enclosed in quotation marks. If the request statement is complete, return Missing Information: No Defect Found.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and missing Information are separated using the trigger word ####.
Statement: Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Missing Information: ['Which existing method the author prefers to remain']
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Missing Information: No Defect Found
# END
Statement: Request Number - 898 | Request Title - Search field missing in group creation dialog | Request Description - When creating a group and adding contacts, there is no search field on top of the contact list. This search field is present when composing a single message and a contact must be picked. Because it's missing in the contact picker when creating a group, it is harder to add contacts to a group.
####
Missing Information:"
21,253-Signal,"Request Number - 253 | Request Title -  Feature: send schedule | Request Description - The default SMS app on Samsung at least show you to set a time the SMS is to be sent. I use this feature a lot, so need to revert back to the default app to send these messages. Would be great to have this feature added. Thanks.",Yes,"What are the expected abilities of this feature?; How should this feature be accessed in the user interface?; Should this feature's time settings be: global, by conversation, by message?","['What are the expected abilities of this feature?', ' How should this feature be accessed in the user interface?', "" Should this feature's time settings be: global, by conversation, by message?""]","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness detection in GitHub feature requests. 
Carefully analyze the given feature request statement and determine whether it is incomplete. If the request is incomplete, identify the missing information required for completeness. Include all the missing information in a single comma-separated list. Ensure that every element of the list is enclosed in quotation marks. If the request statement is complete, return Missing Information: No Defect Found.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and missing Information are separated using the trigger word ####.
Statement: Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Missing Information: ['Which existing method the author prefers to remain']
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Missing Information: No Defect Found
# END
Statement: Request Number - 253 | Request Title -  Feature: send schedule | Request Description - The default SMS app on Samsung at least show you to set a time the SMS is to be sent. I use this feature a lot, so need to revert back to the default app to send these messages. Would be great to have this feature added. Thanks.
####
Missing Information:"
22,1064-Signal,"Request Number - 1064 | Request Title - Group Leaving vs Thread Deletion | Request Description - Deleting a group thread looks like leaving a group. But deleting the thread does not remove me from a group, but until someone writes to that group or updates it, i am not able to write to that group, as i have no open thread i could select. I propose: thread deletion for groups should just clear all messages without removing the group from the thread list",No,No Defect Found,No Defect Found,"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness detection in GitHub feature requests. 
Carefully analyze the given feature request statement and determine whether it is incomplete. If the request is incomplete, identify the missing information required for completeness. Include all the missing information in a single comma-separated list. Ensure that every element of the list is enclosed in quotation marks. If the request statement is complete, return Missing Information: No Defect Found.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and missing Information are separated using the trigger word ####.
Statement: Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Missing Information: ['Which existing method the author prefers to remain']
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Missing Information: No Defect Found
# END
Statement: Request Number - 1064 | Request Title - Group Leaving vs Thread Deletion | Request Description - Deleting a group thread looks like leaving a group. But deleting the thread does not remove me from a group, but until someone writes to that group or updates it, i am not able to write to that group, as i have no open thread i could select. I propose: thread deletion for groups should just clear all messages without removing the group from the thread list
####
Missing Information:"
23,58-Mastodon,"Request Number - 58 | Request Title - Feature: Open toot with another profile | Request Description - (As I just learned) it's possible to be logged in to multiple profiles in the Mastodon app. When coming across an interesting toot, one might want to boost it not only with the current profile but also with one of the other profiles. Therefore, it would be useful if the three-dot menu of each toot contained an option to open it with another profile. For reference, this is what the feature looks like in Tusky: screen-20220420-144854.mp4",No,No Defect Found,No Defect Found,"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness detection in GitHub feature requests. 
Carefully analyze the given feature request statement and determine whether it is incomplete. If the request is incomplete, identify the missing information required for completeness. Include all the missing information in a single comma-separated list. Ensure that every element of the list is enclosed in quotation marks. If the request statement is complete, return Missing Information: No Defect Found.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and missing Information are separated using the trigger word ####.
Statement: Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Missing Information: ['Which existing method the author prefers to remain']
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Missing Information: No Defect Found
# END
Statement: Request Number - 58 | Request Title - Feature: Open toot with another profile | Request Description - (As I just learned) it's possible to be logged in to multiple profiles in the Mastodon app. When coming across an interesting toot, one might want to boost it not only with the current profile but also with one of the other profiles. Therefore, it would be useful if the three-dot menu of each toot contained an option to open it with another profile. For reference, this is what the feature looks like in Tusky: screen-20220420-144854.mp4
####
Missing Information:"
24,604-Signal,"Request Number - 604 | Request Title - Number registration (for push messaging) doesn't work with Google Voice | Request Description - The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.",No,No Defect Found,No Defect Found,"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness detection in GitHub feature requests. 
Carefully analyze the given feature request statement and determine whether it is incomplete. If the request is incomplete, identify the missing information required for completeness. Include all the missing information in a single comma-separated list. Ensure that every element of the list is enclosed in quotation marks. If the request statement is complete, return Missing Information: No Defect Found.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and missing Information are separated using the trigger word ####.
Statement: Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Missing Information: ['Which existing method the author prefers to remain']
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Missing Information: No Defect Found
# END
Statement: Request Number - 604 | Request Title - Number registration (for push messaging) doesn't work with Google Voice | Request Description - The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.
####
Missing Information:"
25,1363-Signal,Request Number - 1363 | Request Title - Indicating in the conservation overview whether the last message is yours or from your conversation partner | Request Description - Description given.,Yes,"The desired method used to indicate this status (color coding, icon, etc.)","['The desired method used to indicate this status (color coding, icon, etc.)']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness detection in GitHub feature requests. 
Carefully analyze the given feature request statement and determine whether it is incomplete. If the request is incomplete, identify the missing information required for completeness. Include all the missing information in a single comma-separated list. Ensure that every element of the list is enclosed in quotation marks. If the request statement is complete, return Missing Information: No Defect Found.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and missing Information are separated using the trigger word ####.
Statement: Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Missing Information: ['Which existing method the author prefers to remain']
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Missing Information: No Defect Found
# END
Statement: Request Number - 1363 | Request Title - Indicating in the conservation overview whether the last message is yours or from your conversation partner | Request Description - Description given.
####
Missing Information:"
26,6077-Signal,"Request Number - 6077 | Request Title - Update libphonenumber to >=8.2.0 (Cannot send SMS to my mobile provider) | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. My friend made me aware of this as I'm never checking my account status via SMS, but it doesn't work for me neither. To check our account status, we have to send an SMS message to 13977, but Signal fails to deliver it. I tried sending it through the native Oneplus SMS app and it goes through just fine, with an immediate response. I can send an SMS to other people, though, so it has something to do with that number. (Signal adds +385 to it for Croatia, maybe that's it?) Steps to reproduce.  send an SMS to my provider through Signal Actual result: it doesn't go through, ""Failed to send"", ""Some issues need your attention."" Expected result: Message should go through and I should get a response. Device info. Device: OnePlus3T Android version: 7.0 Signal version: 3.27.1 Link to debug log. https://gist.github.com/anonymous/f656572561ea3a91d0f4bbdeb98e587b",No,No Defect Found,No Defect Found,"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness detection in GitHub feature requests. 
Carefully analyze the given feature request statement and determine whether it is incomplete. If the request is incomplete, identify the missing information required for completeness. Include all the missing information in a single comma-separated list. Ensure that every element of the list is enclosed in quotation marks. If the request statement is complete, return Missing Information: No Defect Found.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and missing Information are separated using the trigger word ####.
Statement: Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Missing Information: ['Which existing method the author prefers to remain']
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Missing Information: No Defect Found
# END
Statement: Request Number - 6077 | Request Title - Update libphonenumber to >=8.2.0 (Cannot send SMS to my mobile provider) | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. My friend made me aware of this as I'm never checking my account status via SMS, but it doesn't work for me neither. To check our account status, we have to send an SMS message to 13977, but Signal fails to deliver it. I tried sending it through the native Oneplus SMS app and it goes through just fine, with an immediate response. I can send an SMS to other people, though, so it has something to do with that number. (Signal adds +385 to it for Croatia, maybe that's it?) Steps to reproduce.  send an SMS to my provider through Signal Actual result: it doesn't go through, ""Failed to send"", ""Some issues need your attention."" Expected result: Message should go through and I should get a response. Device info. Device: OnePlus3T Android version: 7.0 Signal version: 3.27.1 Link to debug log. https://gist.github.com/anonymous/f656572561ea3a91d0f4bbdeb98e587b
####
Missing Information:"
27,2943-Signal,Request Number - 2943 | Request Title - Where are the old text-only smileys? | Request Description - Why did you remove the old text based smileys? I don't like all this emoji crap and preferred the other ones.,No,No Defect Found,No Defect Found,"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness detection in GitHub feature requests. 
Carefully analyze the given feature request statement and determine whether it is incomplete. If the request is incomplete, identify the missing information required for completeness. Include all the missing information in a single comma-separated list. Ensure that every element of the list is enclosed in quotation marks. If the request statement is complete, return Missing Information: No Defect Found.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and missing Information are separated using the trigger word ####.
Statement: Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Missing Information: ['Which existing method the author prefers to remain']
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Missing Information: No Defect Found
# END
Statement: Request Number - 2943 | Request Title - Where are the old text-only smileys? | Request Description - Why did you remove the old text based smileys? I don't like all this emoji crap and preferred the other ones.
####
Missing Information:"
